,Address,Telephone,Fax_number,Email,Internet,Ofizieller Name,Hauptsitz,Branche,Unternehmensgegenstand,Handelsregister,Rechtsform,Firmengründung,Stammkapital
32,"('INVEST 2 ECO Investorengesellschaft GmbH + Co. KG', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,+49 (07721) 917821,,,INVEST 2 ECO Investorengesellschaft GmbH + Co. KG,Brigachtal,../branchenbuch/branche_70.32.php,"HRA 602727, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,
33,"('IQM TOOLS GMBH Innovative Qualitätsmanagement-Tools', 'Grosses Tal 6', '78086', 'Brigachtal')",+49 (07721) 28305,+49 (07721) 28370,,,IQM TOOLS GMBH Innovative Qualitätsmanagement-Tools,Brigachtal,../branchenbuch/branche_74.14.1.php,"HRB 601594, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
34,"('Kommunalprojekt privatepublicpartnerships GmbH', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,+49 (07721) 903086,,,Kommunalprojekt privatepublicpartnerships GmbH,Brigachtal,../branchenbuch/branche_70.11.2.php,"HRB 602810, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
35,"('Komplementärgesellschaft ppp GmbH', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,+49 (07721) 903086,,,Komplementärgesellschaft ppp GmbH,Brigachtal,../branchenbuch/branche_74.15.6.php,"HRB 603092, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
36,"('Münch GmbH + Co. KG', 'Gewerbestrasse 21', '78086', 'Brigachtal')",+49 (07721) 997660,+49 (07721) 997680,,,Münch GmbH + Co. KG,Brigachtal,../branchenbuch/branche_74.87.2.php,"HRA 601734, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,
37,"('SMG GmbH', 'Gewerbestrasse 44', '78086', 'Brigachtal')",+49 (07721) 30777,+49 (07721) 504771,,,SMG GmbH,Brigachtal,../branchenbuch/branche_74.15.6.php,"HRB 602249, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
38,"('Spedition Effinger GmbH', 'Bondelstrasse 2', '78086', 'Brigachtal')",+49 (07721) 29000,+49 (07721) 290050,,,Spedition Effinger GmbH,Brigachtal,../branchenbuch/branche_60.24.php,"HRB 602487, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
39,"('Werner Rau GmbH Metallbearbeitung + CNC Fräs- + Stanztechnik', 'An der Kälberweid 6', '78086', 'Brigachtal')",+49 (07721) 502185,+49 (07721) 502187,,,Werner Rau GmbH Metallbearbeitung + CNC Fräs- + Stanztechnik,Brigachtal,../branchenbuch/branche_29.42.php,"HRB 602370, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
40,"('eShop Manager AG', 'Im Belli 62', '78086', 'Brigachtal')",,,,,eShop Manager AG,Brigachtal (Ortsteil Überauchen),,"HRB 199315, Amtsgericht München",AG: Aktiengesellschaft,2012,,
41,"('Hubert Bucher Verwaltungs-GmbH', 'Ob der Wanne 15', '78086', 'Brigachtal')",+49 (07721) 98920,+49 (07721) 32537,,,Hubert Bucher Verwaltungs-GmbH,Brigachtal,../branchenbuch/branche_74.15.6.php,"HRB 602170, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
42,"('Kleiser Dachbau - Inhaber: Rainer Behrens e.K.', 'Gewerbestrasse 5', '78086', 'Brigachtal')",+49 (07721) 21229,+49 (07721) 30354,,,Kleiser Dachbau - Inhaber: Rainer Behrens e.K.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_45.22.1.php,e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),Rainer Behrens,,,
43,"('Alfred Schmidt GmbH', 'Gewerbestrasse 11', '78086', 'Brigachtal')",+49 (07721) 22078,+49 (07721) 28634,,,Alfred Schmidt GmbH,Brigachtal,../branchenbuch/branche_45.21.1.php,"HRB 600595, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
44,"('Gasthaus-Pension Sternen Hans-Peter Weissmann e.K.', 'Hochstrasse 2', '78086', 'Brigachtal')",+49 (07721) 91860,+49 (07721) 32598,,,Gasthaus-Pension Sternen Hans-Peter Weissmann e.K.,Brigachtal,../branchenbuch/branche_55.13.php,"HRA 601833, Amtsgericht Freiburg",e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,
45,"('INVEST Holding GmbH', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,,,,INVEST Holding GmbH,Brigachtal,../branchenbuch/branche_74.15.php,"HRB 603058, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
46,"('I N V E S T 11 Investorengesellschaft GmbH', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,,,,I N V E S T 11 Investorengesellschaft GmbH,Brigachtal,../branchenbuch/branche_74.87.7.php,"HRB 721283, Amtsgericht Stuttgart",GmbH: Gesellschaft mit beschränkter Haftung,,,
47,"('INVEST 6 Investorengesellschaft SME GmbH + Co. KG', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,,,,INVEST 6 Investorengesellschaft SME GmbH + Co. KG,Brigachtal,../branchenbuch/branche_70.32.php,"HRA 602456, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,
48,"('Invest 7 Investorengesellschaft GmbH', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,,,,Invest 7 Investorengesellschaft GmbH,Brigachtal,../branchenbuch/branche_70.32.php,"HRB 603001, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
49,"('INVEST 8 Investorengesellschaft GmbH', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,,,,INVEST 8 Investorengesellschaft GmbH,Brigachtal,../branchenbuch/branche_70.32.php,"HRB 603016, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
50,"('Kongress-Hotel Darmstadt GmbH + Co. KG', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Kongress-Hotel Darmstadt GmbH + Co. KG,Brigachtal,../branchenbuch/branche_55.11.php,"HRA 602779, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,
51,"('Metallbau-Münch GmbH', 'Gewerbestrasse 18', '78086', 'Brigachtal')",+49 (07721) 98080,,,,Metallbau-Münch GmbH,Brigachtal,../branchenbuch/branche_28.12.php,"HRB 600884, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
52,"('Objektgesellschaft Berlin, Lehrter Strasse 12-15 GmbH + Co. KG', 'Steinwiesen 12', '78086', 'Brigachtal')",,,,,"Objektgesellschaft Berlin, Lehrter Strasse 12-15 GmbH + Co. KG",Brigachtal,,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,,
53,"('Objektgesellschaft Köln Am Perlengraben 2 GmbH + Co. KG', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Objektgesellschaft Köln Am Perlengraben 2 GmbH + Co. KG,Brigachtal,../branchenbuch/branche_70.32.php,"HRA 602718, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,
54,"('Rau Landtechnik GmbH', 'Herrenstrasse 2', '78086', 'Brigachtal')",+49 (07721) 21425,+49 (07721) 30217,,,Rau Landtechnik GmbH,Brigachtal,../branchenbuch/branche_51.88.php,"HRB 601618, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
55,"('Recycling + Service GmbH', 'Im Brühl 12', '78086', 'Brigachtal')",+49 (07721) 24238,,,,Recycling + Service GmbH,Brigachtal,../branchenbuch/branche_37.php,"HRB 601728, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
56,"('Roth + Effinger GmbH', 'Gewerbestrasse 16', '78086', 'Brigachtal')",+49 (07721) 98950,+49 (07721) 989530,,,Roth + Effinger GmbH,Brigachtal,../branchenbuch/branche_28.62.4.php,"HRB 601485, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
57,"('Bernd Schenk, Präzisionsdrehteile und Frästechnik e.K', 'Gewerbestrasse 24', '78086', 'Brigachtal')",+49 (07721) 2066450,,,,"Bernd Schenk, Präzisionsdrehteile und Frästechnik e.K",Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_28.52.3.php,"HRA 610415, Amtsgericht Freiburg",,,,
58,"('B.M.G. Beteiligung + Management GmbH', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,+49 (07721) 917821,,,B.M.G. Beteiligung + Management GmbH,Brigachtal,../branchenbuch/branche_74.15.6.php,GmbH: Gesellschaft mit beschränkter Haftung,,,,
59,"('Effinger Verwaltungs-GmbH', 'Bondelstrasse 2', '78086', 'Brigachtal')",+49 (07721) 29000,,,,Effinger Verwaltungs-GmbH,Brigachtal,../branchenbuch/branche_74.15.6.php,"HRB 602759, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
60,"('Grusser Metallverarbeitungs-GmbH', 'Gewerbestrasse 24', '78086', 'Brigachtal')",+49 (07721) 28690,+49 (07721) 30592,,,Grusser Metallverarbeitungs-GmbH,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_28.75.php,GmbH: Gesellschaft mit beschränkter Haftung,,,,
61,"('Käfer Fliesenfachgeschäft GmbH', 'Marbacher Strasse 14', '78086', 'Brigachtal')",+49 (07721) 26497,+49 (07721) 28967,,,Käfer Fliesenfachgeschäft GmbH,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_52.46.3.php,GmbH: Gesellschaft mit beschränkter Haftung,,,,
62,"('Kongress-Hotel Bamberg Verwaltungsgesellschaft mbH', 'Steinwiesenstrasse 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Kongress-Hotel Bamberg Verwaltungsgesellschaft mbH,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_74.15.6.php,"HRB 602808, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
63,"('Sartor Montage GmbH + Co. KG', 'Gewerbestrasse 14', '78086', 'Brigachtal')",+49 (07721) 30777,+49 (07721) 504771,,,Sartor Montage GmbH + Co. KG,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_29.php,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,,
64,"('Universitätsgebäude AM KRANEN 10 Verwaltungsgesellschaft mbH', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Universitätsgebäude AM KRANEN 10 Verwaltungsgesellschaft mbH,Brigachtal,../branchenbuch/branche_74.15.6.php,"HRB 602883, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
65,"('Versicherungsbüro Harald Kraus e.K.', 'Bergstrasse 1/1', '78086', 'Brigachtal')",+49 (07721) 21037,+49 (07721) 504616,,,Versicherungsbüro Harald Kraus e.K.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_67.2.php,e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,,
66,"('Verwaltungsgesellschaft ppp GmbH', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Verwaltungsgesellschaft ppp GmbH,Brigachtal,../branchenbuch/branche_74.15.6.php,"HRB 602977, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
67,"('Fond Drei Kaiser Hof B.M.G. Beteiligungs- + Management GmbH + Co. KG', 'St. Gallus-Strasse 2', '78086', 'Brigachtal')",+49 (07721) 917801,+49 (07721) 917821,,,Fond Drei Kaiser Hof B.M.G. Beteiligungs- + Management GmbH + Co. KG,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_74.15.php,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,,
68,"('Handelsvertretung Wolfgang Steinfeldt e.K.', 'Am Bögle 30', '78086', 'Brigachtal')",+49 (07721) 33334,,,,Handelsvertretung Wolfgang Steinfeldt e.K.,Brigachtal,../branchenbuch/branche_51.18.php,"HRA 602398, Amtsgericht Freiburg",e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,
69,"('Scholz Trading GmbH', 'Überaucherstrasse 6-8', '78086', 'Brigachtal')",+49 (07721) 98700,,,,Scholz Trading GmbH,Brigachtal,../branchenbuch/branche_51.57.php,"HRB 600714, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,,
70,"('Hässler Landesproduktehandel OHG', 'Ringstrasse 13', '78086', 'Brigachtal')",+49 (07721) 21110,,,,Hässler Landesproduktehandel OHG,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_51.21.php,OHG: Offene Handelsgesellschaft,,,,
71,"('Petagoras AG Niederlassung', 'Haselweg 7 a', '78086', 'Brigachtal')",,,,,Petagoras AG Niederlassung,Brigachtal,,,,,,
72,"('Peter Scholz GmbH', 'Überaucher Strasse 6-8', '78086', 'Brigachtal')",+49 (07721) 98700,,,,Peter Scholz GmbH,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_51.57.php,GmbH: Gesellschaft mit beschränkter Haftung,,,,
73,"('Sportschützenvereinigung Brigachtal e.V.', 'Auf den Rainen', '78086', 'Brigachtal')",+49 (07721) 21677,,,,Sportschützenvereinigung Brigachtal e.V.,Brigachtal,../branchenbuch/branche_92.62.1.php,e.V.: Eingetragener Verein,,,,
74,"('Uwe Kille e.K.', 'Bergstrasse 1/1', '78086', 'Brigachtal')",+49 (07721) 21036,,,,Uwe Kille e.K.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_67.21.php,e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,,
75,"('Brigach-Apotheke Annette Schulz', 'Marbacher Strasse 4', '78086', 'Brigachtal')",+49 (07721) 24044,,,,Brigach-Apotheke Annette Schulz,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_52.31.php,,,,,
76,"('Hotel Fürstenresidenz Paderborn GmbH + Co. KG', 'Steinwiesen 12', '78086', 'Brigachtal')",,,,,Hotel Fürstenresidenz Paderborn GmbH + Co. KG,Brigachtal,,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,,
77,"('Musikverein Klengen e.V.', 'Hauptstrasse 59', '78086', 'Brigachtal')",,,,,Musikverein Klengen e.V.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_91.33.1.php,e.V.: Eingetragener Verein,,,,
78,"('Stoffmarkt Mahler e.K.', 'Hauptstrasse 15', '78086', 'Brigachtal')",,,,,Stoffmarkt Mahler e.K.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_52.41.php,e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,,
79,"('ODT Organisations- und Datentechnik GmbH', 'Öschleweg 4', '78086', 'Brigachtal')",,,,,ODT Organisations- und Datentechnik GmbH,Brigachtal,,GmbH: Gesellschaft mit beschränkter Haftung,,,,
